Desc	Family ID	Hleu	Lpic	Lvar	Mglob	Pliv	Spurp_prefixed
(null)	OG0000327	0	0	0	0	0	50
(null)	OG0000328	0	0	0	0	0	50
(null)	OG0000329	24	4	6	5	3	7
(null)	OG0000330	6	10	18	3	3	9
(null)	OG0000331	15	6	3	6	7	12
(null)	OG0000332	1	11	15	9	4	9
(null)	OG0000333	2	3	21	2	1	20
(null)	OG0000334	0	10	10	4	15	10
(null)	OG0000335	0	0	0	0	1	48
(null)	OG0000336	40	1	1	2	2	2
(null)	OG0000337	8	8	11	7	4	10
(null)	OG0000338	0	7	6	15	16	4
(null)	OG0000339	0	2	4	5	4	33
(null)	OG0000340	47	0	0	0	0	0
(null)	OG0000341	33	2	2	2	4	4
(null)	OG0000342	13	8	5	5	10	6
(null)	OG0000343	10	10	12	6	3	6
(null)	OG0000344	3	0	0	24	18	2
(null)	OG0000345	12	6	6	2	3	18
(null)	OG0000346	1	15	13	2	1	15
(null)	OG0000347	7	8	8	6	10	8
(null)	OG0000348	3	5	9	5	3	22
(null)	OG0000349	1	18	8	3	5	12
(null)	OG0000350	0	8	14	9	8	8
(null)	OG0000351	0	10	14	6	4	13
(null)	OG0000352	0	3	8	13	11	12
(null)	OG0000353	0	4	5	1	12	25
(null)	OG0000354	0	0	2	1	44	0
(null)	OG0000355	2	14	11	2	2	15
(null)	OG0000356	14	3	3	6	6	14
(null)	OG0000357	4	33	3	1	2	3
(null)	OG0000358	5	12	7	10	4	8
(null)	OG0000359	1	7	16	3	5	14
(null)	OG0000360	3	9	13	6	5	10
(null)	OG0000361	2	9	10	9	5	11
(null)	OG0000362	1	13	12	1	1	18
(null)	OG0000363	1	0	4	17	23	1
(null)	OG0000364	0	13	14	2	4	13
(null)	OG0000365	19	1	3	1	19	2
(null)	OG0000366	23	1	0	13	7	1
(null)	OG0000367	20	5	0	1	6	13
(null)	OG0000368	12	8	6	4	6	9
(null)	OG0000369	7	7	7	6	11	7
(null)	OG0000370	14	2	3	8	4	14
(null)	OG0000371	5	9	9	9	5	8
(null)	OG0000372	5	8	7	7	7	11
(null)	OG0000373	10	4	8	7	5	11
(null)	OG0000374	1	20	10	1	2	11
(null)	OG0000375	0	11	21	1	9	3
(null)	OG0000376	0	8	15	18	1	3
(null)	OG0000377	0	11	8	2	10	14
(null)	OG0000378	0	0	0	0	2	43
(null)	OG0000379	4	3	17	2	4	14
(null)	OG0000380	25	13	4	0	0	2
(null)	OG0000381	2	12	5	2	3	20
(null)	OG0000382	44	0	0	0	0	0
(null)	OG0000383	3	5	9	9	7	11
(null)	OG0000384	6	10	12	1	5	10
(null)	OG0000385	4	15	7	5	8	5
(null)	OG0000386	9	7	8	3	3	14
(null)	OG0000387	2	8	9	7	8	10
(null)	OG0000388	3	8	22	2	2	7
(null)	OG0000389	1	23	10	1	1	8
(null)	OG0000390	1	9	16	7	7	4
(null)	OG0000391	0	44	0	0	0	0
(null)	OG0000392	0	26	1	1	1	15
(null)	OG0000393	0	0	44	0	0	0
(null)	OG0000394	40	0	0	0	3	0
(null)	OG0000395	43	0	0	0	0	0
(null)	OG0000396	12	7	7	3	5	9
(null)	OG0000397	1	2	7	1	4	28
(null)	OG0000398	6	8	7	7	4	11
(null)	OG0000399	15	4	3	3	11	7
(null)	OG0000400	4	1	0	1	2	35
(null)	OG0000401	1	5	8	4	6	19
(null)	OG0000402	2	6	6	2	8	19
(null)	OG0000403	1	7	18	1	1	15
(null)	OG0000404	2	1	7	9	16	8
(null)	OG0000405	1	5	16	1	2	18
(null)	OG0000406	1	5	10	6	7	14
(null)	OG0000407	0	6	2	11	1	23
(null)	OG0000408	0	0	1	7	9	26
(null)	OG0000409	0	0	0	0	24	19
(null)	OG0000410	11	6	2	3	5	15
(null)	OG0000411	41	0	0	0	0	1
(null)	OG0000412	42	0	0	0	0	0
(null)	OG0000413	6	6	10	5	6	9
(null)	OG0000414	21	5	5	9	2	0
(null)	OG0000415	14	4	7	6	5	6
(null)	OG0000416	6	7	10	5	4	10
(null)	OG0000417	7	5	5	2	7	16
(null)	OG0000418	0	1	5	8	23	5
(null)	OG0000419	0	14	20	2	1	5
(null)	OG0000420	10	11	8	2	3	7
(null)	OG0000421	6	7	8	4	3	13
(null)	OG0000422	1	14	10	1	2	13
