FamilyID	Hleu<1>	Mglob<2>	Pliv<3>	Spurp_prefixed<4>	Lvar<5>	Lpic<6>	<7>	<8>	<9>	<10>	<11>
OG0000164	0.113082	0.00667826	2.16114e-22	1.02702e-08	0.844827	0.844827	N/A	0.0854019	0.0726336	0.0300286	0.687469
OG0000165	0.718075	0.129032	0.0280004	4.04539e-28	0.485716	4.99575e-05	N/A	0.789625	0.781359	0.271286	0.00104214
OG0000167	0.00189792	0.735797	0.143249	0.598315	0.833337	0.833337	N/A	0.0165906	0.477891	0.802523	0.672987
OG0000168	0.101045	0.0155536	0.458233	0.00423828	0.0615875	0.875107	N/A	0.097127	0.8365	0.85278	0.735087
OG0000171	0.274546	0.405822	0.166208	0.024903	3.34741e-10	0.506267	N/A	0.355273	0.237306	0.033	3.91044e-05
OG0000172	0.3503	0.0397084	4.23491e-08	0.214676	0.86236	0.0445603	N/A	0.2514	0.083332	0.594196	0.353164
OG0000174	0.0215914	0.735797	0.518749	0.00112779	0.549891	0.184687	N/A	0.144982	0.79586	0.816029	0.291027
OG0000175	0.000762308	0.00276159	0.0877202	0.135243	0.00241039	0.819248	N/A	0.0138959	0.781359	0.802523	0.267323
OG0000178	0.951542	0.480856	0.418966	9.04633e-05	0.0615875	0.875107	N/A	0.821854	0.819017	0.105578	0.735087
OG0000180	4.38145e-05	0.0260976	0.870974	5.09031e-06	0.034395	0.300595	N/A	0.00179455	0.744167	0.766847	0.0865612
OG0000181	0.0533247	0.00667826	0.00437029	0.414111	0.208853	0.574721	N/A	0.158347	0.808289	0.539524	0.687469
OG0000183	5.10977e-09	0.0495892	0.179051	0.61513	0.5	0.5	N/A	3.52118e-07	0.61454	0.197694	0.0429842
OG0000186	0.279093	0.231895	0.0791665	0.0124462	0.0365759	0.596054	N/A	0.308109	0.8365	0.594196	0.0246573
OG0000187	0.505289	2.77503e-10	0.541643	0.019519	0.267059	0.485716	N/A	0.410409	0.0245781	0.00323897	0.640174
OG0000189	4.74608e-06	0.000757823	0.00124303	0.0297853	0.047015	0.0190357	N/A	0.000235347	0.720163	0.0305137	0.579238
OG0000190	0.0107124	0.0111797	0.309154	0.00015945	0.13262	0.00372787	N/A	0.0577213	0.0131709	0.458812	0.640174
OG0000191	0.144481	0.761551	0.561623	3.30055e-13	0.596054	8.83031e-05	N/A	0.109993	0.819017	0.342057	0.0246573
OG0000192	0.636237	0.480856	0.911735	0.0524108	0.0615875	0.106639	N/A	0.361011	0.30385	0.362285	0.735087
OG0000193	0.771829	0.270679	0.561623	1.95781e-06	0.0365759	0.596054	N/A	0.942807	0.819017	0.837151	0.333823
OG0000194	0.749164	0.247845	0.90758	5.85048e-05	0.630858	0.273196	N/A	0.812806	0.283066	0.342057	0.724544
OG0000195	0.00271104	0.719361	0.492213	0.205972	0.0160919	0.0825522	N/A	0.0215511	0.781359	0.489624	0.657264
OG0000196	0.0808762	3.29795e-05	1.68511e-13	5.09031e-06	1.0951e-06	1.41873e-10	N/A	0.264027	0.212206	0.134578	0.640174
OG0000197	0.565365	0.223199	0.0084609	0.0589807	0.00772912	4.07411e-09	N/A	0.937041	0.260908	0.827431	0.700823
OG0000199	0.951542	0.480856	0.057641	0.00423828	0.0164972	0.181686	N/A	0.821854	0.819017	0.105578	0.735087
OG0000200	0.339641	0.00350824	4.82615e-28	0.00319339	0.485716	0.801676	N/A	0.247566	0.0711367	0.134578	0.640174
OG0000201	0.315169	0.119148	0.139843	2.17116e-09	0.0445603	0.61459	N/A	0.218204	0.283066	0.342057	0.353164
OG0000202	0.0563594	0.120965	0.0791665	0.0124462	0.596054	0.23165	N/A	0.0326116	0.8365	0.594196	0.0246573
OG0000204	0.280147	0.0454855	0.000221078	0.141823	6.62529e-06	1.73595e-35	N/A	0.657246	0.383743	0.743034	0.621578
OG0000205	0.948996	1.6148e-05	0.000347952	0.481463	0.000244347	0.00593071	N/A	0.812806	0.0726336	0.845516	0.724544
OG0000206	0.702515	0.0382863	0.00367497	4.95754e-09	1.96856e-13	8.22587e-13	N/A	0.452587	0.127841	1.84299e-08	0.744854
OG0000207	0.000366377	0.138193	0.424014	0.3181	0.801676	0.801676	N/A	0.00651147	0.744167	0.766847	0.640174
OG0000208	5.48785e-05	0.016179	0.035822	0.00137933	0.801676	0.485716	N/A	0.0021413	0.720163	0.182829	0.640174
